id,name,postcode,lat,lng,geosrc
619578,Greggs,"M1 2DA",53.480167,-2.233439,fhrs
844145,Greggs,"B28 8AQ",52.437672,-1.847015,fhrs
701663,Greggs,"M4 3AQ",53.483486,-2.241700,fhrs
946582,Greggs,"M2 7AQ",53.481895,-2.244782,fhrs
439243,Greggs,"M13 9AB",53.465801,-2.215995,fhrs
85021,Greggs,"M13 9NG",53.461605,-2.229437,fhrs
460803,Greggs,"S60 1QB",53.433086,-1.356614,fhrs
85962,Greggs,"M20 0RH",53.406265,-2.219006,fhrs
461003,Greggs,"S60 1TG",53.444172,-1.345516,fhrs
1196858,Greggs,"S20 1DJ",53.356678,-1.331112,fhrs
959564,GREGGS,"BT20 5AE",54.661217,-5.668184,fhrs
83246,Greggs,"M22 5RF",53.380409,-2.262426,fhrs
737840,Greggs,"M11 4PD",53.481129,-2.169165,fhrs
227690,Greggs,"HD1 2RS",53.644047,-1.781567,fhrs
1220208,Greggs,"CF83 1SN",51.570675,-3.241166,fhrs
149672,Greggs,"M4 2HU",53.482651,-2.240158,fhrs
929306,Greggs,"M90 1QX",53.361889,-2.270855,fhrs
997254,Greggs,"B34 7EH",52.501289,-1.771194,fhrs
716157,Greggs,"M8 8EP",53.497211,-2.234908,fhrs
149639,Greggs,"M1 5QA",53.472900,-2.239970,fhrs
355839,Greggs,"HP5 1BW",51.705227,-0.612330,fhrs
1387776,Greggs,"M11 4BD",53.483368,-2.191958,fhrs
1108225,Greggs,"M23 9GB",53.391502,-2.296080,fhrs
852083,Greggs,"ME15 9JD",51.239525,0.556912,fhrs
1001290,Greggs,"NN4 7PY",52.217152,-0.868464,fhrs
493003,Greggs,"M11 1DA",53.473839,-2.164556,fhrs
89415,Greggs,"M9 4DH",53.486076,-2.236259,fhrs
1257372,Greggs,"M19 2RE",53.436520,-2.184319,fhrs
716139,Greggs,"M3 2PW",53.481979,-2.248882,fhrs
776200,Greggs,"CF44 0AH",51.702034,-3.420352,fhrs
375116,Greggs,"M3 2AY",53.482937,-2.246221,fhrs
989660,Greggs,"LE1 5AD",52.635445,-1.132760,fhrs
1035518,Greggs,"M1 4BT",53.480057,-2.238381,fhrs
93379,Greggs,"M12 4JH",53.457146,-2.200349,fhrs
149836,Greggs,"M2 5EB",53.479244,-2.246199,fhrs
452341,Greggs,"M3 3AQ",53.480118,-2.253904,fhrs
954058,Greggs,"M3 1WY",53.487438,-2.242660,fhrs
259464,Greggs,"TS24 7RR",54.683659,-1.213800,fhrs
1346444,Greggs,"OL1 3LG",53.545311,-2.090960,fhrs
673515,Greggs,"DY10 1AA",52.387096,-2.250488,fhrs
651435,Greggs,"SR5 3PZ",54.922508,-1.451489,fhrs
651622,Greggs,"SR1 3DG",54.906776,-1.385622,fhrs
251264,Greggs,"TS17 9FD",54.539093,-1.290784,fhrs
205203,Greggs,"BA1 1EQ",51.381348,-2.361427,fhrs
513277,Greggs,"SS1 1JN",51.537518,0.713890,fhrs
598929,Greggs,"B44 8PP",52.540623,-1.884433,fhrs
199040,Greggs,"MK2 2RU",51.994358,-0.731088,fhrs
199144,Greggs,"MK9 3BE",52.043217,-0.756388,fhrs
227123,Greggs,"HD5 9AD",53.644539,-1.772141,fhrs
1194383,Greggs,"SK6 2QN",53.429317,-2.120512,fhrs
229580,Greggs,"HD1 2QB",53.645924,-1.779104,fhrs
1201021,Greggs,"IP24 1QN",52.422878,0.727361,fhrs
239882,Greggs,"CV1 1FY",52.409092,-1.513265,fhrs
622771,Greggs,"BB1 2EE",53.730682,-2.452583,fhrs
259657,Greggs,"TS25 2LS",54.655190,-1.233616,fhrs
140524,Greggs,"OL16 1EA",53.617634,-2.158993,fhrs
288656,Greggs,"NE63 9UJ",55.183105,-1.571132,fhrs
1223061,Greggs,"CA28 7RQ",54.544540,-3.585027,fhrs
329291,Greggs,"DA6 7JH",51.456478,0.144421,fhrs
1065295,Greggs,"S8 8BR",53.326340,-1.469550,fhrs
219289,Greggs,,50.914677,-1.360849,fhrs
48876,Greggs,"LE3 0PA",52.627346,-1.150708,fhrs
1103001,Greggs,"CT1 2SS",51.277397,1.082001,fhrs
121170,Greggs,"LA1 1UA",54.048130,-2.800070,fhrs
113935,Greggs,"LA1 1LY",54.049103,-2.799539,fhrs
1024415,Greggs,"DA12 3BH",51.400898,0.401032,fhrs
1063090,Greggs,"TW18 3AY",51.433369,-0.530668,fhrs
54306,Greggs,"SA4 4BP",51.669018,-4.039604,fhrs
128472,Greggs,"SA6 8AB",51.664696,-3.925477,fhrs
601521,Greggs,"B5 4BA",52.476826,-1.895377,fhrs
877730,Greggs,"DY1 1LF",52.510994,-2.081157,fhrs
600019,Greggs,"B72 1PH",52.561893,-1.825696,fhrs
